Site Block,SiteID LookUp,Description,Ramp/Mainline,SH,RS,RP,Direction,Number of Lane(s),Normal Total Capacity,Mon_Thu,Fri,Sat,Sun,Seasonal,Normal Capacity per Lane,TMP Capacity,Ramp reroute,Detour Plan Ref,DataSource
SH1_Northbound_between_Redoubt_Road_and_East_Tamaki_Road_37,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Northbound_between_East_Tamaki_Road_and_Princes_St-Otahuhu_On-Ramp_38,01N29443,SH1 East Tamaki Rd On Ramp to Highbrook Dr Off Ramp NB,Mainline,1N,431,12.4,NB,3,6000,5788.25,5718.4,4391.2,4208,0,2000,1400,01N40444,SH1_38,Website Mar-19
SH1_Northbound_between_Princes_Street_and_Mt_Wellington_Highway_40,01N20440,SH1 Princes St On Ramp to Mt Wellington Hwy Off Ramp NB,Mainline,1N,431,8.9,NB,3,6000,5188.380952,5955.088704,5485.480636,4308.011788,0,2000,1400,01N40441,SH1_40,Any2018-scaled
SH1_Northbound_between_Mt_Wellington_Highway_and_South_Eastern_Highway_41,01N20436,SH1 Sth Eastern Hwy On Ramp to Ellerslie Panmure Hwy Off Ramp NB,Mainline,1N,431,4.72,NB,3,5700,5463.8,5373,5386.7,5013.6,0,1900,1400,01N40439,SH1_41,Website Year2014
SH1_Northbound_between_Mt_Wellington_Highway_and_Ellerslie_Panmure_Highway_42,01N20436,SH1 Sth Eastern Hwy On Ramp to Ellerslie Panmure Hwy Off Ramp NB,Mainline,1N,431,4.72,NB,3,5700,5463.8,5373,5386.7,5013.6,0,1900,1400,01N40439,SH1_41,Website Year2014
SH1_Northbound_between_Ellerslie-Panmure_Highway_and_Greenlane_East_43,01N20435,SH1 Ellerslie Panmure Hwy Interchange NB,Mainline,1N,431,4.26,NB,3,5400,#N/A,#N/A,#N/A,#N/A,0,1800,1400,01N40435,SH1_10,Website Year2014
SH1_Northbound_between_Green_Lane_East_and_Gillies_Avenue_44,01N20432,SH1 Greenlane East On Ramp to Market Rd Off Ramp NB,Mainline,1N,431,1.44,NB,4,7200,5905.583332,6001,6135,6025,0,1800,1400,01N40433,SH1_44,Website Mar-18
SH1_Northbound_between_Market_Road_and_Gillies_Avenue_45,01N20430,SH1 Gillies Ave On Ramp to Khyber Pass Off Ramp NB,Mainline,1N,427,2.3,NB,5,9000,4866.975796,5712.90892,5045.935616,4408.413716,0,1800,1400,01N40432,SH1_45,Website Mar-18
SH1_Northbound_between_Market_Road_and_Wellesley_Street_47,01N20430,SH1 Gillies Ave On Ramp to Khyber Pass Off Ramp NB,Mainline,1N,427,2.3,NB,5,9000,4866.975796,5712.90892,5045.935616,4408.413716,0,1800,1400,01N40432,SH1_45,Website Mar-18
SH1_Northbound_between_Symonds_Street-Wellesley_Street_and_Wellington_Street_48,01N20429,SH1 Symonds/Wellesley/Port Off Ramp to SH16 Off Ramp NB,Mainline,1N,427,1.1,NB,4,7200,5634,5276.8,5038.4,5077,0,1800,1400,01N45429,SH1_48,Continuous Mar-19
SH1_Northbound_between_Nelson_Street_and_Fanshawe_Street_49,01N20426,SH1 Wellington St On Ramp to Fanshawe St On Ramp NB,Mainline,1N,414,12.55,NB,3,6300,5473.024152,6137.177416,5932.340984,4742.235448,0,2100,1400,01N40427,SH1_49,Any2018-scaled
SH1_Northbound_between_Stafford_Road_and_Onewa_Road_53,02020004,SH20 Puhinui Rd Interchange SB,Mainline,20,0,4,SB,2,3600,2262.680038,2671.190531,3070.613983,1853.544962,0,1800,1400,02040004,SH20_93,Any2018-scaled
SH1_Northbound_between_Onewa_Road_and_Northcote_Road_54,01N20421,SH1 Onewa Rd On Ramp to Esmonde Rd Off Ramp NB,Mainline,1N,414,7.26,NB,4,7200,6516.974144,7148.795688,6590.533576,5424.042304,0,1800,1400,01N40422,SH1_54,Any2018-scaled
