Ref,SH,Plan Number,Detour Distance (km),Detour Speed (km/hr),Normal Distance ,Normal Speed ,Urban Road Class,Minimum # lane for Urban Road,Rural Road Directional Split,Rural Road Roadway Width,Terrain Type,% of Heavy Vehicle,Other Manual Capacity Input?,Detour Travel Time (min/veh),Normal Travel Time (min/veh),Rural Road Directional Adjustement,Rural Road Roadway Width Adjustement,Rural Road % Heavy Vehicle Adjustement,Urban Road Capacity,Rural Road Capacity,Detour Capacity (veh/hr),Detour Delay (min/veh),,,(for Input tab),,(From detour),,,
SH1S_49,SH1S,49,2.7,40,2,105,Class I,2,,,,,,4.05,1.142857143,-,-,-,2400,-,2400,2.907142857,http://g.co/maps/e8bms,2 lane LT from Nelson to Fanshawe,1040427.26,01N40427,"Jasmine Lau:
closure between Nelson St Off-Ramp and Wellington St On-Ramp NBD",,,
SH1S_50,SH1S,50,2.7,40,2,105,Class I,2,,,,,,4.05,1.142857143,-,-,-,2400,-,2400,2.907142857,http://g.co/maps/e8bms,2 lane LT from Nelson to Fanshawe,1040427.26,01N40427,"Jasmine Lau:
closure between Wellington St On-Ramp and Fanshawe St On-Ramp NBD",,,
SH1N_1,SH1N,1,4.2,40,3.3,105,Class I,1,,,,,,6.3,1.885714286,-,-,-,1200,-,1200,4.414285714,http://g.co/maps/4vmu2,1 lane LT from Nelson to Wellesley,1040427.26,01N40427,"Jasmine Lau:
closure between Fanshawe St On-Ramp and Curran St On-Ramp NBD",,,
SH1N_2,SH1N,2,38.5,105,6.7,105,,,,,,,3600,22,3.828571429,-,-,-,-,-,3600,18.17142857,http://g.co/maps/9deab,2 lane motorway along SH18,DO NOT USE,FALSET USE,"Jasmine Lau:
closure between Curran St On-Ramp and Stafford Rd Off-Ramp NBD",,,
SH1N_3,SH1N,3,2.8,40,1.6,105,Class I,1,,,,,,4.2,0.914285714,-,-,-,1200,-,1200,3.285714286,http://g.co/maps/kt497,1 lane along Standford,1040422.85,01N40422,"Jasmine Lau:
closure between Stafford Rd Off-Ramp and Onewa Rd Off-Ramp NBD",,,
SH1N_4,SH1N,4,4.6,40,2.7,105,Class I,1,,,,,,6.9,1.542857143,-,-,-,1200,-,1200,5.357142857,http://g.co/maps/y5xks,1 lane along Lake Road DIFFERENT from detour plan,1040422.22,01N40422,"Jasmine Lau:
closure between Onewa Rd Off-Ramp and Esmonde Rd/Akoranga Dr Off-Ramp NBD",,,
SH1N_4A,SH1N,4A,3,40,2.6,105,Class I,1,,,,,,4.5,1.485714286,-,-,-,1200,-,1200,3.014285714,http://g.co/maps/c7q9x,1 lane on Ramp,1040420.75,01N40420,"Yi-Min Huang:
Esmond IC NBD",,,
SH1N_5,SH1N,5,3,40,2.6,105,Class I,1,,,,,,4.5,1.485714286,-,-,-,1200,-,1200,3.014285714,http://g.co/maps/c7q9x,1 lane along Akoranga Drive,1040420.75,01N40420,"Jasmine Lau:
closure between Esmonde Rd/Akoranga Dr Off-Ramp and Northcote Rd Off-Ramp NBD",,,
SH1N_5A,SH1N,5A,3.7,40,3.1,105,Class I,1,,,,,,5.55,1.771428571,-,-,-,1200,-,1200,3.778571429,http://g.co/maps/e8pzr,1 land on Ramp,1040419.11,01N40419,"Yi-Min Huang:
northcote IC NBD",,,
SH1N_6,SH1N,6,3.7,40,3.1,105,Class I,1,,,,,,5.55,1.771428571,-,-,-,1200,-,1200,3.778571429,http://g.co/maps/e8pzr,1 lane RT from Wairau to Tristram,1040419.11,01N40419,"Jasmine Lau:
closure between Northcote Rd On-Ramp and Tristram Ave Off-Ramp NBD",,,
